Elevation,Soil_Type32,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,Cover_Type
2976,0,2597,816,1
3028,0,931,153,1
3367,0,1371,924,1
2993,0,1972,2160,1
3249,1,3207,1172,2
3410,0,3317,990,7
3238,0,6081,395,1
3066,0,1176,840,1
3366,0,4313,3887,7
2486,0,1020,1025,3
3205,0,5716,2335,1
3118,0,782,1045,1
2854,0,960,1689,2
3081,0,2918,5801,2
2929,1,2051,1674,2
3378,0,1744,3166,1
2933,0,3714,2165,2
3308,0,3129,2041,1
3293,0,2347,4317,1
3232,0,4522,503,1
3358,0,1504,1741,7
2594,0,1650,2897,6
2669,0,1722,2616,3
3167,1,3039,1176,1
3086,0,3856,3578,2
2936,1,537,1660,2
2959,0,3287,2160,2
3362,1,2100,1062,1
2608,0,1422,1924,3
3201,0,2763,5209,1
2922,0,3288,2017,2
3427,0,1770,631,7
3028,0,2234,1116,2
2638,0,1718,408,2
2726,0,1784,1702,2
2552,0,1465,1120,3
3232,0,3331,721,1
3127,0,371,2120,1
2661,0,1380,663,5
2829,0,1276,1451,2
2962,0,5798,3586,1
2429,0,558,600,2
2743,0,842,408,2
2907,0,3937,3398,2
2880,0,2536,484,2
2689,0,2125,1956,6
3066,0,481,582,2
2162,0,543,242,3
2887,0,1120,127,2
2543,0,470,1515,2
3446,0,3297,2532,7
2715,0,1080,1889,2
3084,0,932,1872,1
2806,0,2431,2213,2
2972,0,6005,4025,1
2925,0,631,1790,2
3083,0,3803,4062,1
2974,0,552,1300,2
3198,0,3542,1811,1
2920,0,598,488,2
2827,0,2588,2634,2
3418,0,3904,2624,2
2935,0,525,1019,1
3028,0,1183,2854,1
2821,0,3960,5343,2
2632,0,1549,1861,3
3076,0,1316,2563,1
2729,0,1865,1006,2
2939,0,1939,927,1
2970,0,4772,2852,2
3014,0,5917,5706,2
3278,0,968,1798,1
3259,0,5304,342,1
3089,0,977,1613,1
3253,0,3059,510,1
2767,0,2524,591,2
2040,0,342,900,3
2697,0,2391,1950,2
2562,0,2136,2245,2
2751,0,828,2648,2
2591,0,351,6064,2
3023,0,1181,1207,2
2410,0,480,808,3
2716,0,1231,2438,2
3326,0,3163,1036,1
2936,0,1524,3360,1
3050,0,969,1445,1
2743,0,1822,3500,2
3010,1,1082,1630,1
2350,0,1073,30,3
2320,0,1138,1370,6
2960,0,5070,2372,1
2659,0,384,277,2
2952,0,5545,2329,2
3372,1,1440,2474,7
3050,0,3578,4899,2
2197,0,648,450,3
2751,0,2402,6769,2
3039,0,1507,124,2
3286,0,2873,2458,1
2820,0,1179,1337,2
2631,0,1260,485,2
2853,1,1376,2952,1
3021,0,3340,1377,1
3043,1,2252,2663,1
2913,0,5872,4362,2
3248,0,2797,400,2
2793,0,2230,1708,2
3283,0,4221,1570,1
2769,0,3115,2349,2
3113,0,5190,2215,1
2913,0,6295,4500,2
3174,0,1470,2580,2
2661,0,1195,1773,2
3242,0,1498,2010,1
3202,0,4535,3713,1
2977,0,1615,488,2
3004,0,1718,1744,2
2788,0,3139,5311,2
2755,0,485,324,5
2879,0,3032,3881,2
3254,0,2676,2627,1
3176,0,2028,711,1
2701,0,979,454,3
3230,0,1627,2589,1
3279,0,1679,2841,1
2967,0,4106,4766,2
2805,0,1698,2340,2
3107,0,1060,2631,1
3242,0,5483,1681,1
2885,1,1702,2979,1
2896,0,4321,2713,1
2795,0,2197,2444,2
2795,0,3104,2506,2
3041,0,684,1062,1
2394,0,997,1040,6
3207,0,2186,2538,1
2962,0,5367,3847,2
2842,0,1296,1436,2
2915,0,2846,1635,2
2684,0,1889,2440,3
3011,0,5282,2352,1
2967,0,4865,2293,1
3045,0,1195,1384,2
2746,0,2915,1307,2
1934,0,201,765,6
3251,0,5533,2802,2
2930,0,484,2580,2
3042,0,600,1638,2
3228,0,1283,2431,1
3109,0,3254,1414,1
2901,0,2911,3523,2
3263,0,4106,2371,1
3210,0,2818,732,1
2761,0,2439,1652,2
2753,0,1126,1466,2
2913,0,4016,5648,2
2706,0,1299,603,2
2988,0,6054,3378,2
3170,0,607,1944,1
2762,0,2215,2268,2
3138,0,5433,560,1
2791,0,1549,543,2
3333,0,511,190,7
2251,0,150,845,3
3172,0,350,1505,2
3170,0,3483,474,2
3047,0,3987,4375,1
2733,0,1727,969,2
2507,0,1773,1679,6
2992,1,1746,1825,2
2661,0,524,1899,2
3213,0,1802,1465,1
3100,0,832,1641,1
2990,0,1976,3513,1
3268,0,1724,2620,1
3139,0,3545,1574,1
3248,0,5983,3030,2
2962,0,1666,2916,2
3091,0,3980,2072,1
2886,0,390,277,1
3149,0,402,5414,1
3276,0,5817,713,1
3017,1,2460,1926,2
3232,0,4497,3515,1
2147,0,323,589,3
2397,0,446,400,3
2172,0,1369,309,3
3140,0,2132,648,1
2345,0,1036,997,3
2954,1,2053,2271,1
3268,0,2242,2053,1
3373,0,2255,1988,7
2923,0,1277,1235,1
2706,0,999,1489,2
3247,0,4040,1994,1
3155,0,376,4992,2
3702,0,5397,3666,7
3112,0,1529,3399,1
2914,0,722,1343,1
2968,0,4322,2103,2
2536,0,2023,2051,2
2724,0,1233,1140,2
2647,0,1682,1008,2
2615,0,760,6263,2
2961,1,1855,150,2
2722,0,1478,2457,2
3370,0,2652,2364,7
3361,1,3569,1663,1
2275,0,541,516,3
2556,0,1560,4626,2
2690,0,832,2042,2
2959,0,1115,2420,2
2932,0,1889,1091,2
3213,0,3121,1167,1
2873,0,4987,4324,2
2942,0,4487,4213,2
3189,1,1396,666,1
3015,1,1167,1443,1
2960,1,1290,366,2
3067,0,1972,3378,1
3259,1,2018,607,1
2793,0,1806,1989,1
3042,0,899,787,1
2742,0,2821,6484,2
2948,0,2536,1718,1
3184,0,1082,1987,1
3162,0,283,2967,2
3138,0,693,2400,1
3184,0,1041,2053,1
3176,0,5047,2359,1
3046,0,582,1461,1
2958,1,1265,2546,2
2454,0,1165,1613,6
2559,0,1333,1283,3
3185,0,4636,1385,1
2956,0,2821,1800,2
3328,1,3416,1464,7
3049,0,1959,1544,1
2582,0,785,331,6
2893,0,1663,2448,2
2012,0,242,313,3
3080,0,1380,2488,1
3175,0,5678,644,1
3146,0,4560,1954,1
3233,0,859,1981,7
3269,0,5321,730,2
3008,0,5580,3000,2
2955,1,1442,270,2
2368,0,685,466,3
2955,0,2525,1401,2
3210,0,3513,2010,1
2459,0,532,1708,3
2922,0,4308,6358,2
3019,0,1907,1383,1
2603,0,1471,1048,1
2550,0,1557,1565,6
2789,0,2397,1945,2
2829,0,1905,2062,2
3126,0,886,1860,2
2936,0,2601,2488,2
3228,1,792,2160,2
2523,0,663,1214,2
2751,0,1710,1253,2
2780,0,569,255,5
3258,0,6365,190,1
2979,0,4625,212,2
2878,0,2547,2249,1
2755,0,2037,997,2
3489,0,3456,1064,1
3119,1,2190,2347,1
2797,0,2415,2473,2
3006,0,1747,1610,2
2986,0,4273,825,2
2682,0,1598,5936,2
2999,0,5188,1698,2
2829,0,2900,2561,2
2746,0,1566,1717,2
3079,0,1397,2163,2
3093,0,1364,1495,1
3292,0,3451,2313,1
3217,0,1041,920,1
2735,0,1110,2338,2
2875,0,2506,2402,2
3013,0,677,1008,2
2945,0,6017,3320,2
3085,0,2468,3109,2
3271,1,451,807,1
3109,0,3686,865,1
3313,0,5464,900,1
2617,0,721,1323,6
3170,0,2297,3192,1
2129,0,765,631,3
3012,0,5625,2048,1
2902,0,5437,960,2
3334,1,830,1319,7
3095,0,1712,1320,1
2861,0,1560,1507,2
2804,0,3072,1434,2
2798,0,3101,6296,1
2616,0,1521,1024,2
3094,0,4705,830,2
2866,0,1661,1430,5
3032,1,2893,1390,2
3285,0,1132,1032,1
3295,1,1248,1233,1
2939,0,4674,6335,2
2830,0,1848,1471,2
3206,0,3231,4055,1
3054,0,3880,492,1
3083,1,722,1087,2
3589,0,1756,1600,7
2994,1,1765,1558,2
2962,0,5284,2568,1
3014,0,1061,2639,2
3255,0,4216,2862,1
2468,0,882,532,6
2577,0,693,5434,2
2857,0,2971,2379,2
3167,0,1026,858,1
3168,0,5113,1187,1
3190,0,4124,2162,1
2889,0,2463,2467,2
2883,0,4608,390,2
3100,0,4657,2970,1
2553,0,433,792,2
2528,0,633,309,2
3350,0,1711,2106,1
3333,0,1834,3073,1
2695,0,1045,518,3
2851,0,1265,3111,2
3227,0,4196,636,1
3165,0,3961,967,2
3223,0,1848,1440,1
3139,0,1795,618,2
2893,0,630,2564,2
3096,0,655,1744,1
2949,0,4424,5166,2
3267,0,5453,492,1
2989,0,1650,1471,2
2748,0,2321,6322,2
2826,0,1731,1231,2
2828,0,1022,1914,2
2802,0,1253,1608,2
2664,0,1201,162,2
3326,1,2402,1931,1
3296,0,1560,1492,1
3225,0,767,722,1
3120,0,1187,918,1
2858,0,3242,3271,2
2422,0,741,351,3
3047,0,6017,3941,2
2543,0,192,1774,2
3201,0,3896,2839,1
3043,1,3162,1129,2
3247,0,850,2689,1
2972,0,2665,1800,1
3126,0,3004,2463,1
3156,0,3450,2131,1
3227,1,2634,1080,1
3384,1,2100,1124,1
2852,0,2954,1273,2
2813,0,2413,1370,2
2657,0,2632,1027,2
2960,1,1624,2040,2
2922,0,3102,942,2
3038,0,3662,4965,2
3122,0,424,1519,2
2855,0,2789,2298,1
2411,0,306,684,3
2926,0,2249,2839,1
3029,1,2218,2379,1
3214,0,3573,1852,1
3020,0,1510,3234,1
3174,0,2597,1426,1
3257,0,2430,2481,1
3446,0,2106,571,7
2972,0,900,2143,2
3100,0,4433,3207,1
3283,0,3703,1053,7
3223,0,646,2539,1
2852,0,2678,2415,1
2758,0,1048,1775,2
2816,0,1325,2557,2
3129,1,1370,1018,1
1920,0,67,511,3
2936,0,4719,2372,1
2638,0,711,960,3
3271,0,4143,2223,7
2963,1,1266,1110,2
2709,0,2402,4815,2
3010,0,5021,2691,1
3195,0,2912,4708,1
2945,0,5887,5100,2
3112,0,1381,3541,2
3112,0,2405,3360,2
2513,0,1530,942,6
3105,0,979,1917,2
3035,0,684,930,1
2954,0,4582,2219,2
2770,0,2713,1920,2
2865,0,2874,2335,2
3273,0,987,2265,2
3418,0,3697,1801,1
2363,0,379,1250,6
2916,0,4952,3547,2
3132,0,2120,2300,1
2866,0,604,2192,2
3073,0,3342,2955,1
1939,0,67,180,3
2744,0,2072,2131,2
3106,1,618,1590,2
2962,0,6145,4712,2
3061,0,3995,573,1
2244,0,1052,1180,3
3061,0,1442,782,1
2686,0,1598,1032,2
2935,0,4198,457,2
2936,0,2993,1155,2
3083,0,2868,5869,2
2712,0,2362,4815,2
2998,0,5536,6410,1
2975,0,5327,4302,2
2913,0,644,1793,2
2630,0,2802,1150,3
2749,0,2884,1350,3
3119,0,2318,1015,1
2882,0,3267,2053,2
3201,0,541,2318,2
2680,0,573,1387,1
3185,0,2716,808,1
3196,0,1008,1871,2
2556,0,840,1498,2
3122,0,1605,2240,1
2866,0,2916,2374,2
3322,1,1248,2283,2
2700,0,2356,2376,3
2375,0,659,541,3
3098,0,1782,3588,1
2905,0,3907,3383,2
3265,0,6000,2644,2
2955,1,1243,228,2
3146,0,960,2063,1
2564,0,1702,1282,2
2737,0,2642,2469,2
3207,0,1855,1500,1
2844,0,3395,6391,2
2528,0,1411,1020,6
2842,0,2036,1917,2
2987,1,1740,1129,1
3141,0,5421,1020,2
3206,0,5362,2638,2
2630,0,2182,446,3
3104,0,4818,907,2
2767,0,979,1249,2
2926,0,4494,3963,2
2890,0,779,518,2
3166,0,794,1909,1
3159,0,684,1883,7
3414,0,3365,1697,7
3241,0,3346,1802,1
2773,0,2312,2919,2
2832,0,2868,2906,2
2765,0,361,2244,5
2740,0,108,1430,5
2932,0,2490,1639,2
2655,0,2432,2220,2
3039,0,242,537,2
2844,0,2460,2097,2
2831,0,2103,1994,2
2244,0,892,424,3
3293,0,4395,1209,1
2909,0,4601,4943,2
2974,1,845,180,2
3046,0,2856,751,1
2415,0,0,283,6
3203,0,6132,1666,2
2875,0,1209,2080,2
2291,0,1040,547,4
2988,0,5121,5639,1
3352,0,3877,1840,1
3103,0,6714,2771,2
3063,0,2748,1248,2
2904,0,3786,5464,2
3170,0,1077,2160,1
2955,0,5696,5881,2
2877,0,3023,2561,2
2709,0,1718,1182,3
2954,0,933,360,2
2741,0,212,1954,5
2728,0,2130,1323,2
3099,0,2658,2841,2
3031,0,2538,1158,2
2607,0,1693,949,6
2863,0,4228,3601,1
3220,0,3971,1173,1
2887,0,2574,2037,2
3045,0,4879,2746,1
3041,0,134,1318,2
3029,0,2160,1869,2
2339,0,443,582,3
3122,0,2102,1167,2
3073,0,3580,2242,1
3268,0,1515,2640,1
2405,0,937,1517,3
2791,0,1411,1776,2
2868,0,819,1883,2
3100,0,2971,3314,1
3190,0,5792,1566,2
2964,0,4555,1106,2
2860,0,2527,2610,1
2755,0,1419,819,2
2760,0,2069,2804,2
3184,0,3934,1448,1
2959,0,3453,6447,2
2495,0,845,1490,2
3211,0,514,1150,1
3441,0,4830,2998,7
2871,0,2337,2054,2
3000,0,2663,162,1
3258,0,6196,908,1
2976,0,3764,2300,2
3000,0,2760,1441,2
3337,0,4041,2689,1
2860,0,2721,242,1
3001,0,5552,1374,2
2459,0,870,216,6
2277,0,900,832,6
2916,0,4584,4926,1
2994,0,600,1739,1
3003,0,3922,1390,2
2900,0,3079,2130,1
2835,0,2067,2347,2
3382,0,2793,2236,7
3256,0,3758,4080,1
3139,0,5234,1140,1
3361,0,2732,1953,7
3217,0,1195,2665,1
2808,0,3758,5552,2
2874,0,2869,3653,2
2955,0,3412,6349,2
3262,0,5073,256,2
3024,0,6096,3445,2
2750,0,2280,6088,2
2775,1,2556,2084,2
2725,0,1261,2340,2
3042,0,1890,1500,1
3242,0,4310,2205,1
3018,0,977,2440,2
3295,0,693,860,1
3276,1,3439,2021,1
3169,0,3482,3277,1
2758,0,1846,362,1
3279,0,3954,3688,7
3370,1,3705,1761,1
2918,0,1687,1861,1
2796,0,1356,1154,1
3356,0,1932,4931,1
3250,0,6264,446,1
2913,0,5364,3982,2
2661,0,1127,1771,2
2413,0,1167,1148,3
3070,0,5817,4147,1
3073,0,2790,5962,2
3063,0,1689,2885,1
3023,0,1920,3132,2
2995,0,2866,1756,1
3099,0,664,1126,2
3268,0,960,2135,2
2789,0,2032,1140,2
3164,0,1907,1860,1
2398,0,175,658,3
3117,1,2845,516,1
3206,0,2492,1473,1
3267,0,782,1533,1
3180,0,2080,1583,1
3109,0,1965,771,2
3047,0,2366,2490,1
2833,0,2610,379,1
3185,0,3144,3690,1
2862,0,2506,912,2
3299,0,5855,485,1
2869,0,2529,942,2
3029,0,3087,421,1
3265,1,3438,2863,1
3249,0,5693,765,1
2684,0,95,1921,5
3061,0,1613,1364,1
3039,0,1045,792,2
2929,0,5544,3884,2
2689,0,2052,2315,6
2474,0,331,987,3
2488,0,840,5283,5
2903,0,4727,1537,2
3350,0,816,1262,1
3321,0,3521,1200,1
3037,0,3392,1813,1
2861,1,752,713,2
3244,0,3721,2403,1
3173,1,3814,1869,2
3006,0,560,1939,2
3139,0,4719,1922,1
3057,0,3441,5700,2
2798,0,4144,1781,2
2437,0,997,1233,3
3296,0,1498,1930,1
3032,0,4726,3063,2
3287,0,751,793,1
3072,0,3132,2125,1
3094,1,2927,659,1
3197,0,4086,2135,1
2833,0,1072,660,2
3150,0,4266,3628,1
2896,0,3795,3661,2
2820,0,1822,808,2
2821,0,1172,2917,5
3152,0,3842,3371,1
2811,0,4245,5077,2
2562,0,1284,1597,3
2113,0,911,247,3
3149,0,3771,4775,1
2934,0,3365,1800,2
3245,0,769,1777,1
2731,0,488,484,2
3015,0,1559,3497,1
3158,0,4089,323,1
2843,0,560,569,2
3013,0,5516,2131,1
2997,0,256,1026,1
2988,0,5838,1316,2
